,state,age,title,content,date,negative_worde
10,PHAGWARA,['21-year-old'],Kerala student ‘suicide’ triggers protest in Punjab private university,"PHAGWARA: Massive protests were witnessed in Phagwara's Lovely Professional University during the intervening night of Tuesday and Wednesday after a 21-year-old student, hailing from Kerala, committed suicide by hanging himself in his hostel room. Though initially police officials said that a suicide note recovered from his room reflected 'personal reasons', later in the day, the police registered a case against a professor of National Institute of Technology, Calicut, on the basis of a suicide note left by the student and the statement given by his father to the police. Agin S Dilip was a first year student of Bachelor of Designing. The suicide note left by him read, ""I blame prof. Prasad Krishna for emotionally manipulating me into quitting NITC. I regret my decision so much, I am being a burden to everyone. I'm sorry but this is it."" ADGP (law and order) Arpit Shukla, addressing a press conference on Wednesday evening, said that he studied at NIT Calicut for four years and was rusticated from there after which he got admission at LPU. He said that two other notes were also recovered from his room where he mentioned his issues. However, the police did not share the contents of the other two notes. Asked about the protests by the students, he said that they were anxious to know who was responsible for the suicide. ""We did not have the ready answer and it took and later facts were conveyed to the students,"" he said. In the press conference, LPU executive dean Sanjay Modi was also present. A statement issued by the police on Wednesday early morning had said, ""Prima facie the student was having some personal issues, as has been suggested by the suicide note left by the deceased. Meanwhile, a statement LPU said, ""From the suicide note recovered, it seems the student has taken this extreme step because of the personal problems he faced in his previous institution at NIT Calicut (Kerala), where he studied for two years."" ",22-09-2022,"['protests', 'suicide', 'suicide', 'suicide', 'suicide', 'blame', 'regret', 'burden', 'sorry', 'issues', 'protests', 'anxious', 'suicide', 'issues', 'suicide', 'suicide', 'problems']"
11,Ahmedabad,[],2 Class XII students commit suicide in Sabarmati,"Ahmedabad: A minor couple allegedly committed suicide by jumping into Sabarmati River on Saturday afternoon after their parents disapproved their relationship due to their age.According to a case of accidental death registered with the Sabarmati Riverfront (west) police, Sunayna Parmar, 16, Maulik Parmar, 17, both Class XII students from Baherampura held their hands, climbed the wall of the Sardar Bridge and then jumped into the river. A team of Ahmedabad fire and emergency services (AFES) rushed to save them but ended up recovering their bodies only.An officer of Sabarmati Rriverfront (west) police said that the two were in love since their childhood and they studied in the same school and went to the same coaching class. They told their parents about their relationship and their parents told them they cannot marry in teenage and suggested them to focus on their study. The boy and the girl believed that their parents will not agree to their marriage after which they left their house and jumped into the river. (Names have been changed to protect the identity) ",12-09-2022,"['suicide', 'accidental', 'death', 'emergency']"
12,HYDERABAD,['25-year-old'],IIT-Hyderabad student found dead on campus,"HYDERABAD: A student of IIT-Hyderabad was found dead in a suspected case of suicide on the campus of the institute, police said on Wednesday. The police said they received information at 11.30 AM today. The incident may have happened on Tuesday night, they said. The 25-year-old second year MTech (smart mobility) student allegedly ended his life by hanging himself in his room where only he was staying, the police said. The reason for the extreme step was not known immediately, they said. A case under Section 174 CrPC (suspicious death) was registered on a complaint by a hostel staff member, they said adding that the deceased was a native of Andhra Pradesh. ",31-08-2022,"['dead', 'suicide', 'suspicious', 'death', 'complaint']"
13,VISAKHAPATNAM,[],9th class student commits suicide in Andhra Pradesh,"VISAKHAPATNAM: A class 9 student committed suicide on Monday night in Nallakunta of Guntur district. The boy’s mother alleged that he took the extreme step due to harassment by his teachers. The boy’s mother Anjamma said her son Akash was a student at Nallakunta municipal high school. She alleged that the teachers had harassed her son as he was a dull student. “When Akash was having his mid-day meal, a teacher pulled away the plate he was eating from and harassed him over his poor grades, due to which he went home and committed suicide,” she said. A case was registered. ",10-08-2022,"['suicide', 'harassment', 'harassed', 'dull', 'harassed', 'poor', 'suicide']"
14,AHMEDABAD,[],Ahmedabad: 2 Class XII students die by suicide in Sabarmati,"AHMEDABAD: A minor couple allegedly committed suicide by jumping into Sabarmati River on Saturday afternoon after their parents disapproved their relationship due to their age. According to a case of accidental death registered with the Sabarmati Riverfront (west) police, Sunayna Parmar, 16, Maulik Parmar, 17, both Class XII students from Baherampura held their hands, climbed the wall of the Sardar Bridge and then jumped into the river. A team of Ahmedabad fire and emergency services (AFES) rushed to save them but ended up recovering their bodies only. An officer of Sabarmati Rriverfront (west) police said that the two were in love since their childhood and they studied in the same school and went to the same coaching class. They told their parents about their relationship and their parents told them they cannot marry in teenage and suggested them to focus on their study. The boy and the girl believed that their parents will not agree to their marriage after which they left their house and jumped into the river. (Names have been changed to protect the identity) ",12-09-2022,"['suicide', 'accidental', 'death', 'emergency']"
15,Hisar,['13-year-old'],Principal booked for student’s suicide,"Hisar: A 13-year-old boy in Adampur near here committed suicide on August 10, as he was allegedly beaten up by the principal of the private school he studied in and told by him that he was not fit to study, so he should go somewhere and die. Police have started an investigation by registering a case of abetment to suicide against the principal of the school. Government Railway Police (GRP) said the case hasbeen registered against Bansidhar, the principal of Shri Krishna Pranami Senior Secondary School, Mandi Adampur, on a complaint by Anoop Singh, father of victim Naveen.In the complaint to police, Anoop said Naveen studied in Class IX. On August 10, he left the house to go to school, but out of the fear of getting beaten up by the principal, he committed suicide by jumping in front of an oncoming train.“I talked to his sister Kiran and some classmates, and came to know that school principal Bansidhar was beating Naveen for the last four-five days, which is also clearly visible in the CCTV footage. Naveen had told Kiran that the principal told him that he was not fit to study, so he should go somewhere and die,” he alleged in the complaint.He said when he went to the school, the principal admitted to beating up Naveen two-three times. When asked for the reason, school chairman Ashok Bansal made the principal Bansidhar abscond on the pretext of getting his blood pressure checked, he said.",18-08-2022,"['suicide', 'suicide', 'complaint', 'complaint', 'fear', 'suicide', 'abscond']"
16,PUNE,['32-year-old'],"FTII student found hanging in hostel room, suicide suspected","PUNE: The decomposed body of a 32-year-old student of the Film and Television Institute of India (FTII) here was found hanging in his hostel room on Friday, police said. It was suspected to be a suicide though no suicide note has been found, said an official. ""Ashwin Anurag Shukla, a resident of Goa, was found hanging in his hostel room this morning. The body was in a decomposed state,"" said Murlidhar Karpe, senior inspector of Deccan Gymkhana police station. ""It appears to be a case of suicide. But no suicide note has been found so far and our investigation is on,"" he added. FTII registrar Sayyid Rabeehashmi said Shukla was a student of the 2017 batch of cinematography course. ""The body has been sent for autopsy. His parents have been informed,"" said Rabeehashmi. ",05-08-2022,"['suicide', 'suicide', 'suicide', 'suicide']"
17,SRIKAKULAM,[],Andhra Pradesh: IIIT student dies by suicide in Srikakulam hostel room,"SRIKAKULAM: A student of the Indian Institute of Information Technology (IIIT) in Srikakulam district allegedly committed suicide by hanging herself from the ceiling fan in her hostel room on Wednesday. The police have identified the student as Bhaviri Visista Roshini, 17. The reason behind the extreme step is yet to be ascertained. This is the second suicide in the IIIT campus at Etcherla in Srikakulam district in the last seven months. Earlier, a girl student, ended her life on the campus within a day after returning from home in February this year. The police said Roshini is a resident of Tattikota street in Saluru town in newly formed Parvathipuram Manyam district. She is pursuing second year PUC in the IIIT. She is the eldest daughter of B Haranatha Chari, a gold appraiser in a bank at Saluru. Roshini had used her scarf to commit suicide. IIIT-Etcherla director Prof P Jagadeeswara Rao told TOI that the staff of the hostel noticed the girl hanging in her room and immediately shifted her to a hospital where she died while undergoing treatment. ""We are shocked after hearing the news. The reason behind the extreme step is not known,"" he said. The girl wrote her second semester examination and returned to the hostel on Wednesday afternoon. She allegedly committed suicide within minutes of returning to the room. Sources said that she had written a suicide note stating that she was ending her life as she did not perform well in the examination. But the IIIT director said that there was no suicide note in her room. Etcherla police registered a case and launched a probe. . ",08-09-2022,"['suicide', 'suicide', 'suicide', 'died', 'shocked', 'suicide', 'suicide', 'suicide']"
18,BHOPAL,"['16-year-old', '16-year-old']",Bhopal: Class 10 boy dies by suicide in hostel room in Khajuri,"BHOPAL: A 16-year-old boy, student of class 10, died by suicide in his hostel room at a boarding school at Mugaliyachap village in Khajuri locality on Saturday afternoon. He had returned to his room during the lunch break when he took his life, say police. Acting on information from the hospital, Khajuri police went to the school and sealed the room to carry out the probe. No suicide note was recovered, so police are trying to investigate what triggered the suicide. Primary investigations suggested that he was weak in studies and took the extreme step in depression, a police officer said. Investigation officer SI Indar Singh Mujalda said that the deceased is a native of Tikamgarh district. His siblings study in the same school in Bhopal and their father works as a mechanic in their native town. The 16-year-old went for his class on Saturday morning. Around 2pm, he and some other students returned to the hostel during lunch break. At 3pm, when the class resumed, he and his roommate were found missing. A school teacher went to search for them at the hostel. His room was found locked from inside and his roommate was seen banging on the door. Some school staff broke down the door and found the class 10 boy hanging in the room. He was rushed to JP hospital where doctors declared him dead on arrival. They also called police. ",07-08-2022,"['died', 'suicide', 'break', 'suicide', 'suicide', 'weak', 'depression', 'break', 'broke', 'dead']"
19,Chennai,['21-year-old'],IIT-M student death: Case transferred to CB-CID,"Chennai: The Crime Branch-CID (CB-CID) has taken over the investigation into the death by suicide of a 21-year-old final year student on the Indian Institute of Technology, Madras campus.The Kotturpuram police, who have registered a case, said based on a Madras HC order, the CB-CID has taken over the case. The order was issued in relation to the alleged death by suicide of a Class XII girl at a school in Kallakurichi.As per the order, unnatural student deaths in educational institutions should be investigated by the CB-CID. Also, it said the postmortem in these cases be performed by a group of three doctors and recorded.Inquiries revealed the student committed suicide due to stress related to his backlogs in the semester exams. The Kotturpuram police registered a case, and an investigation was started.Assistance for those having suicidal thoughts is available on TN’s health helpline 104 and Sneha’s suicide prevention helpline 044-24640050.",17-09-2022,"['death', 'suicide', 'death', 'suicide', 'unnatural', 'suicide', 'stress', 'suicidal', 'suicide']"
20,HYDERABAD,"['23-year-old', '11-year-old']",Hyderabad: YouTuber ends life over 'fall' in viewers to his online channel,"HYDERABAD: A 23-year-old student allegedly died by suicide in Hyderabad on Thursday reportedly due to decline in viewers to his channel on YouTube, police said. The deceased student, who was pursuing a course in the IIITM, Gwalior, jumped from the third floor of a residential building today morning and died on the spot, they said. He was residing at an apartment here with his parents and currently studying through online classes for his course, police said. His father is a railway employee. Read AlsoRevenge plot: Six held for stabbing realtor to death in HyderabadRachakonda police have arrested six persons for the alleged murder of a realtor at Dammaiguda recently. The father of the main accused was killed in 2009 and he bore a grudge against the victim for his alleged involvement in that case.On Wednesday night after his parents returned to home they found him sleeping in his room and did not wake him up, but today morning he allegedly committed suicide by jumping from the building. The watchman found him dead on the ground, police said based on the petition of his father. As per the statement given by his mother their son ran a channel on YouTube and viewers to his channel had decreased besides he was feeling lonely, an official of Saidabad police station said. Read AlsoHyderabad: 11-yr-old jumps from 4-storied building, diesAn 11-year-old girl allegedly committed suicide by jumping from the terrace of a four-storied building at LB Nagar on Tuesday evening.He used to upload video-games content on his channel, police said adding a case has been registered. In a suicide note purportedly written by the student, which was posted online, he stated that he did not get support and there was lack of proper guidance from his parents including on his career due to which he reportedly got disturbed, police said. The student also mentioned several incidents that took place in his life, adding ""he suffered in his life"". Read AlsoHyderabad: Dead bee in jam bottle costs supermarket Rs 20,000 in fineA dead bee in a jam bottle has come back to sting a supermarket chain, which has now been fined Rs 20,000. After a seven-year legal battle, Heritage Foods Ltd was also told to pay legal cost of Rs 3,000 to the aggrieved customer by the state consumer commission.",21-07-2022,"['died', 'suicide', 'decline', 'died', 'plot', 'death', 'murder', 'killed', 'bore', 'grudge', 'suicide', 'dead', 'lonely', 'suicide', 'suicide', 'lack', 'disturbed', 'suffered', 'dead', 'sting', 'aggrieved']"
21,CHENNAI,[],Kallakurichi school violence: Police trace WhatsApp group members; two held,"CHENNAI: Kallakurichi police have traced the WhatsApp group admins who created #JusticeForSrimathi and have detained a few group members. Police said the group was created only on Friday and many people volunteered to join the group. Most of the group members are Periyar supporters and a few others are the Students Federation of India (SFI), Revolutionary Students’ Youth Front (RSYF) and Democratic Youth Federation of India (DYFI) members apart from the common people. The identified WhatsApp group admins and a few key members were detained by the Kallakurichi police. One of the WhatsApp group admin hails from Kallakurichi and he has been detained by the police. Police believe that the WhatsApp group members may have instigated and triggered the youngsters to indulge in riots and violence at the school premises on Sunday. The police arrested two of them and they were remanded in jail on Monday. While the CB-CID police probing the girl Srimathi’s suicide case, the Chinna Salem police in the Kallakurichi district is probing the Sunday’s violence that erupted at the school premises that led to the burning of 15 school buses, four tractors and three police vehicles and ransacking of belongings at the school campus. ",19-07-2022,"['indulge', 'suicide', 'burning']"
22,HYDERABAD,"['17-year-old', '18-year-old']","Failed in Inter exams, three students kill themselves in Hyderabad"," HYDERABAD: Three Intermediate students committed suicide in separate incidents and another student died under suspicious circumstances on Tuesday after the board exam results were announced. Meanwhile, education minister Sabitha Indra Reddy has appealed to the students not to resort to extreme steps as the government has already announced advanced supplementary exam schedule. In the first case, 17-year-old BiPC second year student, K Praveen, committed suicide at his house in Nalakunta Thanda in Kadthal on Tuesday afternoon. Praveen committed suicide by hanging himself from the ceiling fan.  Praveen failed in two subjects of II year. Praveen's father Roop Singh is a farmer. He did not leave behind any suicide note,"" Kadthal sub-inspector (SI) Ch Hari Shanker Goud said. Police registered a a suspicious death case. In another incident, 18-year-old Gowtham Kumar an Intermediate I year student of a corporate college in Narayanguda ended his life by hanging himself at his house in Chintalbasti over a low grade in MPC. Gowtham's mother is a widow and she sells vegetables. A Thagur Hari, 18, an Inter second year student of MPC hanged himself from a ceiling fan at home in Annapurna Nagar in Badangpet, Meerpet inspector M Mahendar Reddy said. Inter first year student, Aravind Reddy, 18, from Katedan, had a fatal fall from second floor of a building on Tuesday, said Mylardevpally cops. ",29-06-2022,"['suicide', 'died', 'suspicious', 'suicide', 'suicide', 'failed', 'suicide', 'suspicious', 'death', 'fatal', 'fall']"
23,KALLAKURICHI,[],"TN school girl suicide: Protesters set school buses, police vehicles on fire; 20 cops injured","KALLAKURICHI: Violence broke out on Sunday in Kallakurichi district as protesters forcibly entered the school premises and set the school buses and police vehicles on fire demanding justice over the death of a girl student. #TamilNadu: Violence breaks out in #Kallakurichi district as protesters forcibly enter the school premises and set… https://t.co/6D2U0ZTYlZ— TOIChennai (@TOIChennai) 1658043548000""The agitators, pushing down barricades put up by the police, stormed the premises of a school at nearby Chinnasalem and set buses parked inside the institution's premises on fire,"" said police. To control the violence, Kallakurichi district police used mild force. The protesters started pelted stones at police personnel. More than 20 cops, including DIG M Pandian, have sustained injuries in the incident. Chief minister M K Stalin has directed the home secretary and DGP to visit the spot. A class XII girl student was found dead in the hostel of a residential school in Kallakurichi district on Wednesday. The school management is believed to have shifted the girl’s body to the Kallakurichi Medical College and Hospital for post-mortem examination and informed the police. Meanwhile, parents and relatives of the girl blocked roads, alleging foul play in her death. They refused to receive her body. A section of students and locals blocked the Chinna Salem- Kallakurichi Road on Sunday and tried to proceed towards the private school at Kaniyamoor. Police personnel, however, intercepted the protesters, who began to pelt them with stones and stormed into the school. Meanwhile the girl's parents requested the protesters not to indulge in violence. DGP C Sylendra Babu has warned the students and locals of stern action if they indulged in violence. ",17-07-2022,"['broke', 'death', 'breaks', 'dead', 'foul', 'death', 'refused', 'indulge', 'warned', 'stern']"
